,lat_x,long_x,metric_x,store_cluster,Store,lat_y,long_y,metric_y,Distance
1872,50.49177206497158,30.45611855083693,1.9754058589716565,56,Store 57,50.471374,30.502307,2.345569756056392,3.9869727036128597
1873,50.4914713,30.45554165,2.189428714300057,56,Store 57,50.471374,30.502307,2.345569756056392,4.001932115529463
1874,50.4859485687371,30.46597525637692,2.4907667822934014,56,Store 57,50.471374,30.502307,2.345569756056392,3.046155553552073
1875,50.48675356760261,30.46568214918558,2.5242280255416563,56,Store 57,50.471374,30.502307,2.345569756056392,3.1120835092806423
1876,50.48622956540024,30.46674793840321,2.1927692921915205,56,Store 57,50.471374,30.502307,2.345569756056392,3.016866134674585
1877,50.48745105904404,30.46593967861743,2.3362032696344808,56,Store 57,50.471374,30.502307,2.345569756056392,3.140342663669616
1878,50.48774223551015,30.46705555079619,2.266114522047976,56,Store 57,50.471374,30.502307,2.345569756056392,3.0945071520343377
1879,50.48708273971753,30.46821774426618,2.1667417366149198,56,Store 57,50.471374,30.502307,2.345569756056392,2.9846736268434393
1880,50.4859502600769,30.46789719258726,2.228519764742621,56,Store 57,50.471374,30.502307,2.345569756056392,2.9316641016706533
1881,50.48649899201847,30.46876119724228,1.9648214636078158,56,Store 57,50.471374,30.502307,2.345569756056392,2.9155510620814136
1882,50.4853734,30.46701695,2.176773958257939,56,Store 57,50.471374,30.502307,2.345569756056392,2.949554831495376
1883,50.4842686,30.4648348,2.089930228861786,56,Store 57,50.471374,30.502307,2.345569756056392,3.0219808669083013
1884,50.48456252406618,30.46553459571138,2.0898186971838553,56,Store 57,50.471374,30.502307,2.345569756056392,2.994229119080916
1885,50.48464690277135,30.46688901924604,2.293540289819206,56,Store 57,50.471374,30.502307,2.345569756056392,2.915540820818506
1886,50.4841399,30.4660149,1.9841014353611668,56,Store 57,50.471374,30.502307,2.345569756056392,2.9415846623932795
1887,50.48348505000001,30.46570235000001,2.3880090712529083,2,Store 3,50.414301,30.650869,2.503790683057181,15.237846925293082
1888,50.4843534385535,30.4688980110436,2.278583245213828,56,Store 57,50.471374,30.502307,2.345569756056392,2.7763996939967432
1889,50.48455189999999,30.46790005,2.1873866807355666,56,Store 57,50.471374,30.502307,2.345569756056392,2.8484385510146133
1890,50.48504285958688,30.46812007037893,2.121213382694854,56,Store 57,50.471374,30.502307,2.345569756056392,2.8636684444968434
1891,50.48479413370408,30.47018459328284,2.3391911337569113,56,Store 57,50.471374,30.502307,2.345569756056392,2.7253442995931256
1892,50.48535494056377,30.46894426769847,2.332804908673869,56,Store 57,50.471374,30.502307,2.345569756056392,2.8331647415295507
1893,50.4862135315654,30.47192888360694,1.7153519459776947,56,Store 57,50.471374,30.502307,2.345569756056392,2.715586990191716
1894,50.48602830413883,30.4709155357872,2.13391055810729,56,Store 57,50.471374,30.502307,2.345569756056392,2.7608335589656074
1895,50.48651397219125,30.4713268188161,1.7155418395816135,56,Store 57,50.471374,30.502307,2.345569756056392,2.7698302346202257
1896,50.48680780000001,30.4707667,1.6343777468169882,56,Store 57,50.471374,30.502307,2.345569756056392,2.82126297684367
1897,50.48678741022005,30.4700751672341,2.0645984057432423,56,Store 57,50.471374,30.502307,2.345569756056392,2.8590093473168454
1898,50.48749284832692,30.4695109457616,2.2473683409978555,56,Store 57,50.471374,30.502307,2.345569756056392,2.9383593950700906
1899,50.4882013,30.46833455,2.0824244693933127,56,Store 57,50.471374,30.502307,2.345569756056392,3.0526083832458406
1900,50.48857349731147,30.46758179718508,1.91030362163471,56,Store 57,50.471374,30.502307,2.345569756056392,3.1201948250997193
1901,50.48469777875904,30.47520702358583,2.3176772094606983,42,Store 43,50.484819,30.639434,2.4302363534115106,11.655567232863739
1902,50.48561038972344,30.47676761753752,2.012729443618284,42,Store 43,50.484819,30.639434,2.4302363534115106,11.54502506510784
1903,50.4866258592297,30.47914999687872,1.9781467809353954,42,Store 43,50.484819,30.639434,2.4302363534115106,11.377261898818745
1904,50.48679270968481,30.48123810387735,1.9854163497202053,42,Store 43,50.484819,30.639434,2.4302363534115106,11.229418513942417
1905,50.4862418,30.4793471,2.012028406630807,42,Store 43,50.484819,30.639434,2.4302363534115106,11.362646187871166
1906,50.48590255,30.47978005,1.9699574763292678,42,Store 43,50.484819,30.639434,2.4302363534115106,11.331498565637947
1907,50.48561135305916,30.48032967570136,1.9477143726583914,42,Store 43,50.484819,30.639434,2.4302363534115106,11.292228518593104
1908,50.4848553,30.47938290000001,1.9854971549197376,42,Store 43,50.484819,30.639434,2.4302363534115106,11.359170005636518
1909,50.4833431981461,30.47667541004804,2.3205168421695372,42,Store 43,50.484819,30.639434,2.4302363534115106,11.552676347084272
1910,50.48354424999999,30.47770045,2.1637901539824154,42,Store 43,50.484819,30.639434,2.4302363534115106,11.479610939527896
1911,50.48420841365292,30.47635515729931,2.4338507297100063,42,Store 43,50.484819,30.639434,2.4302363534115106,11.574332875005629
1912,50.4825602996024,30.47749389718788,1.9169663813355637,42,Store 43,50.484819,30.639434,2.4302363534115106,11.496260072068388
1913,50.48094798517323,30.47983277690028,2.122726848550346,42,Store 43,50.484819,30.639434,2.4302363534115106,11.335889011127
1914,50.40198318900826,30.51798656691343,2.193604268685521,89,Store 90,50.472699,30.406233,2.236537261488694,11.176355049743893
1915,50.4046913795532,30.52240842492199,2.505622901087643,89,Store 90,50.472699,30.406233,2.236537261488694,11.195767839887221
1916,50.40231396374457,30.51919909448031,2.5287101653823068,89,Store 90,50.472699,30.406233,2.236537261488694,11.211966361731022
1917,50.40173097526256,30.52040989562279,2.2158735951122304,89,Store 90,50.472699,30.406233,2.236537261488694,11.318867408625806
1918,50.40236871500657,30.52111412633391,2.212226805457983,89,Store 90,50.472699,30.406233,2.236537261488694,11.305530011716943
1919,50.40302165000001,30.5218199,2.252794084437959,89,Store 90,50.472699,30.406233,2.236537261488694,11.291761663317622
1920,50.40356939986015,30.52258435629033,2.21624299287668,89,Store 90,50.472699,30.406233,2.236537261488694,11.28969328536942
1921,50.41396348934288,30.52376408047603,2.480178947641762,89,Store 90,50.472699,30.406233,2.236537261488694,10.601380772799361
1922,50.41435352632616,30.52280134456473,2.0950691937667676,89,Store 90,50.472699,30.406233,2.236537261488694,10.520762136495886
1923,50.41465264142425,30.52403977249644,2.233464289840381,89,Store 90,50.472699,30.406233,2.236537261488694,10.569758435087909
